The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Pebble La Serena,Pebble Park Developers,2,"Check out 2,3,4 BHK apartments in Kandivali West, now available for sale at Pebble La Serena. Apartments in Pebble La Serena have CARPET area ranging between 715.05 - 1,574.98 sq.ft.. Pebble La Serena 's RERA registration number is P51800050593. Apartment prices in this housing society vary in the range of Rs. 2.4 - 5.29 Cr","['New Link Road', 'Dahanukar Wadi Metro station']",2.4,157498.0,152.38,2
Pebble La Serena,Pebble Park Developers,3,"Check out 2,3,4 BHK apartments in Kandivali West, now available for sale at Pebble La Serena. Apartments in Pebble La Serena have CARPET area ranging between 715.05 - 1,574.98 sq.ft.. Pebble La Serena 's RERA registration number is P51800050593. Apartment prices in this housing society vary in the range of Rs. 2.4 - 5.29 Cr","['New Link Road', 'Dahanukar Wadi Metro station']",3.86,157498.0,245.08,3
Pebble La Serena,Pebble Park Developers,4,"Check out 2,3,4 BHK apartments in Kandivali West, now available for sale at Pebble La Serena. Apartments in Pebble La Serena have CARPET area ranging between 715.05 - 1,574.98 sq.ft.. Pebble La Serena 's RERA registration number is P51800050593. Apartment prices in this housing society vary in the range of Rs. 2.4 - 5.29 Cr","['New Link Road', 'Dahanukar Wadi Metro station']",5.29,157498.0,335.88,4
Royal Bliss,Royal Realtors Mumbai,2,"Finest 2,3,4 BHK apartments in Malad West available for sale in Royal Bliss. Apartments in this complex are available in price range of Rs. 2.06 - 4.61 Cr. Royal Bliss apartments are available in multiples sizes, ranging from 712 - 1,591 sq.ft. CARPET area. The housing society is RERA-registered with P51800048835 registration number","['Private Garden', 'Fresh Construction']",2.06,1591.0,12947.83,2
Royal Bliss,Royal Realtors Mumbai,3,"Finest 2,3,4 BHK apartments in Malad West available for sale in Royal Bliss. Apartments in this complex are available in price range of Rs. 2.06 - 4.61 Cr. Royal Bliss apartments are available in multiples sizes, ranging from 712 - 1,591 sq.ft. CARPET area. The housing society is RERA-registered with P51800048835 registration number","['Private Garden', 'Fresh Construction']",3.11,1591.0,19547.45,3
Royal Bliss,Royal Realtors Mumbai,4,"Finest 2,3,4 BHK apartments in Malad West available for sale in Royal Bliss. Apartments in this complex are available in price range of Rs. 2.06 - 4.61 Cr. Royal Bliss apartments are available in multiples sizes, ranging from 712 - 1,591 sq.ft. CARPET area. The housing society is RERA-registered with P51800048835 registration number","['Private Garden', 'Fresh Construction']",4.61,1591.0,28975.49,4
73 East,Dimples Group,2,"73 East society now offers elegantly built 2,3,4,6 BHK apartments in Kandivali West. 73 East 's RERA registration number is P51800015343. Prices of apartments in this project, vary between Rs. 1.68 - 6.09 Cr. 73 East has apartments in multiple configurations, in range of 520 - 2,437 sq.ft.","['Project With Great Connectivity', 'Airport']",2.7,2437.0,11079.2,2
73 East,Dimples Group,3,"73 East society now offers elegantly built 2,3,4,6 BHK apartments in Kandivali West. 73 East 's RERA registration number is P51800015343. Prices of apartments in this project, vary between Rs. 1.68 - 6.09 Cr. 73 East has apartments in multiple configurations, in range of 520 - 2,437 sq.ft.","['Project With Great Connectivity', 'Airport']",4.65,2437.0,19080.84,3
73 East,Dimples Group,4,"73 East society now offers elegantly built 2,3,4,6 BHK apartments in Kandivali West. 73 East 's RERA registration number is P51800015343. Prices of apartments in this project, vary between Rs. 1.68 - 6.09 Cr. 73 East has apartments in multiple configurations, in range of 520 - 2,437 sq.ft.","['Project With Great Connectivity', 'Airport']",6.09,2437.0,24989.74,4
73 East,Dimples Group,6,"73 East society now offers elegantly built 2,3,4,6 BHK apartments in Kandivali West. 73 East 's RERA registration number is P51800015343. Prices of apartments in this project, vary between Rs. 1.68 - 6.09 Cr. 73 East has apartments in multiple configurations, in range of 520 - 2,437 sq.ft.","['Project With Great Connectivity', 'Airport']",,2437.0,,6
Pride Panorama,Pride Group,1,"Finest 1,2,3 BHK apartments in Sakinaka available for sale in Pride Panorama. Apartments in this complex are available in price range of Rs. 1.05 - 1.9 Cr. Pride Panorama is a RERA- registered society and P51800034548 is the RERA registration number. Pride Panorama has apartments in multiple configurations, in range of 510 - 928.39 sq.ft.","['East Facing', 'Private Garden']",1.1,92839.0,118.48,1
Pride Panorama,Pride Group,2,"Finest 1,2,3 BHK apartments in Sakinaka available for sale in Pride Panorama. Apartments in this complex are available in price range of Rs. 1.05 - 1.9 Cr. Pride Panorama is a RERA- registered society and P51800034548 is the RERA registration number. Pride Panorama has apartments in multiple configurations, in range of 510 - 928.39 sq.ft.","['East Facing', 'Private Garden']",1.48,92839.0,159.42,2
Pride Panorama,Pride Group,3,"Finest 1,2,3 BHK apartments in Sakinaka available for sale in Pride Panorama. Apartments in this complex are available in price range of Rs. 1.05 - 1.9 Cr. Pride Panorama is a RERA- registered society and P51800034548 is the RERA registration number. Pride Panorama has apartments in multiple configurations, in range of 510 - 928.39 sq.ft.","['East Facing', 'Private Garden']",1.9,92839.0,204.66,3
25 west,Avdharna Infrastructure,4,"Here are beautifully built 4 BHK apartments in Bandra West, available for sale at 25 west. 25 west is a RERA- registered society and P51800028736 is the RERA registration number. Apartments in this complex are available in price range of Rs. 15 Cr. 25 west apartments are available in multiples sizes, ranging from 2,093.69 sq.ft. CARPET area","['Mount Mary Convent', 'Holy Family Hospital']",15.0,,,4
Hiranandani Castalia,House of Hiranandani,2,"Check out 2,3 BHK apartments in Kandivali West, now available for sale at Hiranandani Castalia. Prices of apartments in this project, vary between Rs. 2.78 - 3.99 Cr. Hiranandani Castalia apartments are available in multiples sizes, ranging from 730 - 1,056 sq.ft. CARPET area. Hiranandani Castalia 's RERA registration number is P51800031613","['Dahanukar Wadi Metro station', 'Zenith Hospital']",2.94,1056.0,27840.91,2
Hiranandani Castalia,House of Hiranandani,3,"Check out 2,3 BHK apartments in Kandivali West, now available for sale at Hiranandani Castalia. Prices of apartments in this project, vary between Rs. 2.78 - 3.99 Cr. Hiranandani Castalia apartments are available in multiples sizes, ranging from 730 - 1,056 sq.ft. CARPET area. Hiranandani Castalia 's RERA registration number is P51800031613","['Dahanukar Wadi Metro station', 'Zenith Hospital']",3.99,1056.0,37784.09,3
Sandu Shilpadatta,Sandu Developers,2,"Beautiful 2,3 BHK apartments in Govandi, are now available in Sandu Shilpadatta housing project. The housing society is RERA-registered with P51800045569 registration number. Apartments in this complex are available in price range of Rs. 2.03 - 2.48 Cr. Here units have different sizes, mostly in range of 678 - 1,087 sq.ft. CARPET area","['Eastern Freeway', 'BARC Hospital']",2.03,1087.0,18675.25,2
Sandu Shilpadatta,Sandu Developers,3,"Beautiful 2,3 BHK apartments in Govandi, are now available in Sandu Shilpadatta housing project. The housing society is RERA-registered with P51800045569 registration number. Apartments in this complex are available in price range of Rs. 2.03 - 2.48 Cr. Here units have different sizes, mostly in range of 678 - 1,087 sq.ft. CARPET area","['Eastern Freeway', 'BARC Hospital']",2.48,1087.0,22815.09,3
Hill Crest Oaks,Crest and KBK Group,2,"Hill Crest Oaks society now offers elegantly built 2,3 BHK apartments in Marol. Hill Crest Oaks apartments are available in multiples sizes, ranging from 716.66 - 1,230.42 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 1.89 - 3.24 Cr. Hill Crest Oaks 's RERA registration number is P51800053387","['Mumbai Airport', 'JVLR']",2.01,123042.0,163.36,2
Hill Crest Oaks,Crest and KBK Group,3,"Hill Crest Oaks society now offers elegantly built 2,3 BHK apartments in Marol. Hill Crest Oaks apartments are available in multiples sizes, ranging from 716.66 - 1,230.42 sq.ft. CARPET area. Prices of apartments in this project, vary between Rs. 1.89 - 3.24 Cr. Hill Crest Oaks 's RERA registration number is P51800053387","['Mumbai Airport', 'JVLR']",3.24,123042.0,263.32,3
Keyspace Rustomjee Ocean Vista,Keyspace Realtors,4,"Spacious 4 BHK apartments in Andheri West are available for sale.Check out latest property options at Keyspace Rustomjee Ocean Vista housing society. Keyspace Rustomjee Ocean Vista 's RERA registration number is P51800076673. Apartments in Keyspace Rustomjee Ocean Vista have CARPET area ranging between 2,392.06 - 2,504.33 sq.ft.. This society offers apartments in the price range of Rs. 21.53 - 22.54 Cr","['East Facing', 'Top Floor']",22.54,250433.0,900.04,4
Bharat Queens Croft CHSL,Bharat Infra,3,"Bharat Queens Croft CHSL society now offers elegantly built 3 BHK apartments in Vile Parle West. Bharat Queens Croft CHSL apartments are available in multiples sizes, ranging from 1,016.88 - 1,138.29 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 5.18 - 5.8 Cr. Bharat Queens Croft CHSL 's RERA registration number is P51800053638","['Rock Beach', 'Azad Nagar Metro Station']",5.8,113829.0,509.54,3
Asshna Seabliss,Asshna Developers,2,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Versova, available for sale in Asshna Seabliss. Asshna Seabliss is a RERA- registered society and P51800046626 is the RERA registration number. Apartments in Asshna Seabliss have CARPET area ranging between 685 - 1,296 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 2.74 - 5.18 Cr","['Mhada Road', 'Kokilaben Hospital']",2.93,1296.0,22608.02,2
Asshna Seabliss,Asshna Developers,3,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Versova, available for sale in Asshna Seabliss. Asshna Seabliss is a RERA- registered society and P51800046626 is the RERA registration number. Apartments in Asshna Seabliss have CARPET area ranging between 685 - 1,296 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 2.74 - 5.18 Cr","['Mhada Road', 'Kokilaben Hospital']",5.18,1296.0,39969.14,3
Asshna Seabliss,Asshna Developers,4,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Versova, available for sale in Asshna Seabliss. Asshna Seabliss is a RERA- registered society and P51800046626 is the RERA registration number. Apartments in Asshna Seabliss have CARPET area ranging between 685 - 1,296 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 2.74 - 5.18 Cr","['Mhada Road', 'Kokilaben Hospital']",,1296.0,,4
Platinum Grandeur,Platinum Corp,2,"Platinum Grandeur, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Model Town. Apartment prices in this housing society vary in the range of Rs. 3.16 - 5.54 Cr. Apartments in Platinum Grandeur have CARPET area ranging between 789.96 - 1,384.99 sq.ft.. The housing society is RERA-registered with P51800052098 registration number","['Shoppers Stop', 'CNM School']",3.2,138499.0,231.05,2
Platinum Grandeur,Platinum Corp,3,"Platinum Grandeur, one of the known housing societes in Western Mumbai, brings classic yet modern 2,3 BHK apartments in Model Town. Apartment prices in this housing society vary in the range of Rs. 3.16 - 5.54 Cr. Apartments in Platinum Grandeur have CARPET area ranging between 789.96 - 1,384.99 sq.ft.. The housing society is RERA-registered with P51800052098 registration number","['Shoppers Stop', 'CNM School']",5.54,138499.0,400.0,3
Shreeji Platinum Park,Shreeji Developers Mumbai,2,"Spacious 2,3 BHK apartments in Andheri West are available for sale.Check out latest property options at Shreeji Platinum Park housing society. Here units have different sizes, mostly in range of 735 - 1,114 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 3.45 - 5.23 Cr. The housing society is RERA-registered with P51800008722 registration number","['P Tondon Marg', 'Infiniti Mall']",3.78,1114.0,33931.78,2
Shreeji Platinum Park,Shreeji Developers Mumbai,3,"Spacious 2,3 BHK apartments in Andheri West are available for sale.Check out latest property options at Shreeji Platinum Park housing society. Here units have different sizes, mostly in range of 735 - 1,114 sq.ft. CARPET area. Apartments in this complex are available in price range of Rs. 3.45 - 5.23 Cr. The housing society is RERA-registered with P51800008722 registration number","['P Tondon Marg', 'Infiniti Mall']",5.23,1114.0,46947.94,3
Bharat Alta Vistas,Bharat Infra,3,"Here are beautifully built 3 BHK apartments in Lokhandwala Andheri West, available for sale at Bharat Alta Vistas. This society offers apartments in the price range of Rs. 4.33 - 5.62 Cr. The housing society is RERA-registered with P51800052790 registration number. Bharat Alta Vistas has apartments in multiple configurations, in range of 1,007 - 1,308 sq.ft.",[],5.62,1308.0,42966.36,3
H Rishabraj Trident,H Rishabraj Realty,3,"Choose your dream home from the wide variety of 3,4 BHK apartments in Juhu, available for sale in H Rishabraj Trident. Apartment prices in this housing society vary in the range of Rs. 8.24 - 10.03 Cr. H Rishabraj Trident apartments are available in multiples sizes, ranging from 1,498 - 1,824 sq.ft. CARPET area. H Rishabraj Trident is a RERA- registered society and P51800053505 is the RERA registration number","['C P Goenka Intl School', 'ICFAI University']",8.24,1824.0,45175.44,3
H Rishabraj Trident,H Rishabraj Realty,4,"Choose your dream home from the wide variety of 3,4 BHK apartments in Juhu, available for sale in H Rishabraj Trident. Apartment prices in this housing society vary in the range of Rs. 8.24 - 10.03 Cr. H Rishabraj Trident apartments are available in multiples sizes, ranging from 1,498 - 1,824 sq.ft. CARPET area. H Rishabraj Trident is a RERA- registered society and P51800053505 is the RERA registration number","['C P Goenka Intl School', 'ICFAI University']",10.03,1824.0,54989.04,4
Pratik Springwoods,Pratik Construction Borivali,1,"Check out 1,2 BHK apartments in Kandivali East, now available for sale at Pratik Springwoods. Here units have different sizes, mostly in range of 327.33 - 619.89 sq.ft. CARPET area. Pratik Springwoods is a RERA- registered society and P51800032668 is the RERA registration number. This society offers apartments in the price range of Rs. 65.4 L - 1.24 Cr","['Kandivali Railway Station', 'ICICI Bank ATM']",0.654,61989.0,105.5,1
